job,lower,upper,delta,tot_l,tot_u,time,in_bounds,mean_cp,na_lower,mean_lower,med_lower,na_upper,mean_upper,med_upper,min_len,mean_len,med_len,max_len,global_mean_cp,global_na_lower,global_mean_lower,global_median_lower,global_na_upper,global_mean_upper,global_median_upper,global_min_len,global_mean_len,global_median_len,global_max_len
5,0.3426761,0.8428571,0.500181,0,0,174.063,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.3251269,0.865102,0.5399751,0,0,170.479,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.2445468,0.6849338,0.44038700000000003,0,0,197.293,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.1726128,0.6522604,0.47964759999999995,0,0,177.185,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.1196825,0.6058228,0.48614029999999997,0,0,152.008,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.2519398,0.685838,0.43389819999999996,0,0,210.522,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.2968714,0.6725608,0.37568939999999995,0,0,197.792,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.1414777,0.605561,0.4640833,0,0,164.666,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.3588052,0.8267877,0.4679825,0,0,182.787,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.1844181,0.7089152,0.5244970999999999,0,0,183.537,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.3430001,0.8498571,0.5068570000000001,0,0,160.049,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
6,0.205347,0.7098911,0.5045440999999999,0,0,187.324,1,1,0,0.23187014,0.2249469,0,0.70024279,0.6853859,0.37568939999999995,0.46837265,0.47381505,0.5244970999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.2093007,0.6790346,0.46973390000000004,0,0,207.522,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.3591288,0.8202892,0.4611604,0,0,175.538,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.2656059,0.7905165,0.5249105999999999,0,0,194.046,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.2855039,0.76402,0.47851610000000006,0,0,198.61,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.3047993,0.8021055,0.49730620000000003,0,0,193.494,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.4958136,0.9180952,0.4222816,0,0,136.929,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.3545506,0.8086438,0.45409320000000003,0,0,189.473,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.1898359,0.6866191,0.49678320000000004,0,0,196.191,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.2025864,0.6832469,0.4806605,0,0,194.244,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
7,0.2777679,0.8022321,0.5244641999999999,0,0,187.576,1,1,0,0.2944893,0.2816359,0,0.77548029,0.796311,0.4222816,0.48099099,0.4795883,0.5249105999999999,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.1999765,0.7422458,0.5422693,0,0,185.018,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.1020635,0.4595652,0.35750170000000003,0,0,159.279,0,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.3951271,0.8504898,0.45536269999999995,0,0,166.277,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.2569481,0.7712001,0.514252,0,0,207.924,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.2869222,0.7393873,0.45246509999999995,0,0,198.622,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.214229,0.7624377,0.5482087,0,0,188.768,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.2388922,0.711584,0.4726918,0,0,190.851,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.3121375,0.8283463,0.5162088,0,0,171.468,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.2052137,0.7394801,0.5342663999999999,0,0,190.482,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
8,0.455221,0.8569218,0.40170079999999997,0,0,175.608,1,0.9,0,0.26667308,0.24792015,0,0.7461658099999999,0.75234175,0.35750170000000003,0.47949273,0.4934719,0.5482087,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
9,0.30479849999999997,0.7810944,0.4762959,0,0,177.635,1,1,0,0.26277165,0.23219060000000002,0,0.74470137,0.7367817999999999,0.42365129999999995,0.48192972,0.48018819999999995,0.5366362,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
9,0.1661263,0.7027625,0.5366362,0,0,146.635,1,1,0,0.26277165,0.23219060000000002,0,0.74470137,0.7367817999999999,0.42365129999999995,0.48192972,0.48018819999999995,0.5366362,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
9,0.2366281,0.7295904,0.49296229999999996,0,0,172.324,1,1,0,0.26277165,0.23219060000000002,0,0.74470137,0.7367817999999999,0.42365129999999995,0.48192972,0.48018819999999995,0.5366362,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
9,0.22775310000000001,0.6514044,0.42365129999999995,0,0,190.312,1,1,0,0.26277165,0.23219060000000002,0,0.74470137,0.7367817999999999,0.42365129999999995,0.48192972,0.48018819999999995,0.5366362,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
9,0.2189517,0.6734293,0.45447760000000004,0,0,190.264,1,1,0,0.26277165,0.23219060000000002,0,0.74470137,0.7367817999999999,0.42365129999999995,0.48192972,0.48018819999999995,0.5366362,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
9,0.2215318,0.7439732,0.5224414,0,0,167.468,1,1,0,0.26277165,0.23219060000000002,0,0.74470137,0.7367817999999999,0.42365129999999995,0.48192972,0.48018819999999995,0.5366362,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
9,0.3544098,0.8224405,0.4680307,0,0,169.11,1,1,0,0.26277165,0.23219060000000002,0,0.74470137,0.7367817999999999,0.42365129999999995,0.48192972,0.48018819999999995,0.5366362,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
